Treat,ID,Date,Eggs in cup,Lost Eggs,Total eggs,Notes,Indi,Potent,Day
W,1,16-Jul,45,1,46,,W01,179,1
W,1,17-Jul,26,1,27,,W01,179,2
W,1,18-Jul,4,0,4,,W01,179,3
W,1,19-Jul,2,0,2,,W01,179,4
W,2,26-Jul,14,0,14,,W02,139,1
W,3,26-Jul,9,0,9,,W03,123,1
W,2,27-Jul,17,0,17,,W02,139,2
W,3,27-Jul,8,0,8,,W03,123,2
W,2,28-Jul,1,0,1,,W02,139,3
W,3,28-Jul,2,0,2,,W03,123,3
W,4,30-Jul,0,0,0,,W04,113,1
W,4,31-Jul,1,0,1,,W04,113,2
W,5,31-Jul,7,0,7,,W05,92,1
W,4,1-Aug,0,0,0,,W04,113,3
W,5,1-Aug,2,0,2,,W05,92,2
W,4,2-Aug,0,0,0,,W04,113,4
W,8,6-Aug,17,0,17,,W08,166,3
W,8,7-Aug,60,1,61,,W08,166,4
W,8,8/9/2020,18,0,18,,W08,166,5
L,1,16-Jul,64,0,64,,L01,505,1
L,1,17-Jul,37,0,37,,L01,505,2
L,1,18-Jul,36,0,36,,L01,505,3
L,1,19-Jul,30,1,31,,L01,505,4
L,1,20-Jul,40,0,40,,L01,505,5
L,1,21-Jul,22,0,22,,L01,505,6
L,1,22-Jul,17,0,17,,L01,505,7
L,1,23-Jul,48,0,48,,L01,505,8
B,1,24-Jul,10,0,10,,B01,202,1
F,1,24-Jul,11,0,11,,F01,67,1
L,1,24-Jul,16,0,16,,L01,505,9
B,1,25-Jul,36,4,40,,B01,202,2
F,1,25-Jul,21,0,21,,F01,67,2
L,1,25-Jul,37,0,37,,L01,505,10
B,1,26-Jul,9,7,16,SPONGE,B01,202,3
B,2,26-Jul,11,0,11,,B02,496,1
F,2,26-Jul,12,0,12,,F02,213,1
L,1,26-Jul,35,0,35,,L01,505,11
L,2,26-Jul,0,0,0,,L02,0,1
B,1,27-Jul,7,23,30,SPONGE,B01,202,4
B,2,27-Jul,72,0,72,,B02,496,2
F,2,27-Jul,24,1,25,SPONGE,F02,213,2
L,1,27-Jul,43,0,43,,L01,505,12
L,2,27-Jul,0,0,0,,L02,0,2
B,1,28-Jul,4,3,7,,B01,202,5
B,2,28-Jul,60,0,60,,B02,496,3
F,2,28-Jul,20,0,20,,F02,213,3
L,1,28-Jul,10,0,10,,L01,505,13
L,2,28-Jul,0,0,0,,L02,0,3
B,1,29-Jul,10,2,12,,B01,202,6
B,2,29-Jul,26,0,26,,B02,496,4
B,3,29-Jul,48,0,48,,B03,226,1
F,2,29-Jul,2,0,2,,F02,213,4
F,3,29-Jul,13,0,13,,F03,47,1
L,1,29-Jul,27,0,27,,L01,505,14
L,3,29-Jul,1,0,1,,L03,37,1
B,1,30-Jul,10,0,10,,B01,202,7
B,2,30-Jul,34,0,34,,B02,496,5
B,3,30-Jul,16,0,16,,B03,226,2
B,4,30-Jul,3,0,3,,B04,145,1
F,2,30-Jul,0,0,0,,F02,213,5
F,3,30-Jul,8,0,8,,F03,47,2
L,1,30-Jul,15,0,15,,L01,505,15
L,3,30-Jul,0,3,3,SPONGE,L03,37,2
L,4,30-Jul,0,0,0,,L04,105,1
B,1,31-Jul,7,0,7,,B01,202,8
B,2,31-Jul,8,0,8,,B02,496,6
B,3,31-Jul,9,0,9,,B03,226,3
B,4,31-Jul,4,0,4,,B04,145,2
B,5,31-Jul,24,0,24,,B05,210,1
B,6,31-Jul,0,0,0,,B06,44,1
F,3,31-Jul,5,0,5,,F03,47,3
F,4,31-Jul,11,0,11,,F04,185,1
F,5,31-Jul,0,0,0,,F05,137,1
L,3,31-Jul,2,0,2,,L03,37,3
L,4,31-Jul,0,0,0,,L04,105,2
L,5,31-Jul,2,0,2,,L05,42,1
L,6,31-Jul,36,0,36,,L06,305,4
W,6,31-Jul,0,0,0,,W06,86,1
B,1,1-Aug,5,0,5,,B01,202,9
B,2,1-Aug,27,0,27,,B02,496,7
B,3,1-Aug,26,0,26,,B03,226,4
B,4,1-Aug,5,0,5,,B04,145,3
B,5,1-Aug,26,0,26,,B05,210,2
B,6,1-Aug,0,0,0,,B06,44,2
F,3,1-Aug,1,0,1,,F03,47,4
F,4,1-Aug,3,0,3,,F04,185,2
F,5,1-Aug,10,0,10,,F05,137,2
L,3,1-Aug,0,0,0,,L03,37,4
L,4,1-Aug,0,0,0,,L04,105,3
L,5,1-Aug,24,1,25,,L05,42,2
L,6,1-Aug,22,0,22,,L06,305,5
W,6,1-Aug,0,0,0,,W06,86,2
B,1,2-Aug,3,0,3,,B01,202,10
B,2,2-Aug,43,0,43,,B02,496,8
B,3,2-Aug,20,0,20,,B03,226,5
B,4,2-Aug,1,0,1,,B04,145,4
B,5,2-Aug,23,0,23,,B05,210,3
B,6,2-Aug,0,0,0,,B06,44,3
F,3,2-Aug,10,0,10,,F03,47,5
F,4,2-Aug,10,0,10,,F04,185,3
F,5,2-Aug,6,0,6,,F05,137,3
L,3,2-Aug,1,0,1,,L03,37,5
L,4,2-Aug,0,0,0,,L04,105,4
L,5,2-Aug,3,0,3,,L05,42,3
L,6,2-Aug,22,0,22,,L06,305,6
W,6,2-Aug,0,0,0,,W06,86,3
B,1,3-Aug,7,3,10,SPONGE,B01,202,11
B,2,3-Aug,44,0,44,,B02,496,9
B,3,3-Aug,11,0,11,,B03,226,6
B,4,3-Aug,12,0,12,,B04,145,5
B,5,3-Aug,29,2,31,SPONGE,B05,210,4
B,6,3-Aug,0,0,0,,B06,44,4
F,3,3-Aug,0,0,0,,F03,47,6
F,4,3-Aug,12,0,12,,F04,185,4
F,5,3-Aug,2,0,2,,F05,137,4
L,3,3-Aug,0,0,0,,L03,37,6
L,4,3-Aug,0,0,0,,L04,105,5
L,6,3-Aug,16,0,16,,L06,305,7
B,1,4-Aug,5,0,5,,B01,202,12
B,2,4-Aug,30,0,30,,B02,496,10
B,3,4-Aug,7,0,7,,B03,226,7
B,4,4-Aug,3,0,3,,B04,145,6
B,5,4-Aug,17,0,17,,B05,210,5
B,6,4-Aug,4,0,4,,B06,44,5
B,7,4-Aug,3,0,3,,B07,151,1
F,4,4-Aug,25,0,25,,F04,185,5
F,5,4-Aug,15,0,15,,F05,137,5
F,6,4-Aug,35,0,35,,F06,264,1
F,7,4-Aug,6,0,6,,F07,199,1
L,4,4-Aug,7,0,7,,L04,105,6
L,6,4-Aug,44,0,44,,L06,305,8
L,7,4-Aug,3,0,3,,L07,71,1
L,8,4-Aug,0,0,0,,L08,38,1
W,8,4-Aug,0,0,0,,W08,166,1
B,1,5-Aug,4,0,4,,B01,202,13
B,2,5-Aug,23,0,23,,B02,496,11
B,4,5-Aug,13,2,15,SPONGE,B04,145,7
B,5,5-Aug,8,8,16,SPONGE,B05,210,6
B,6,5-Aug,1,0,1,,B06,44,6
B,7,5-Aug,1,0,1,,B07,151,2
B,8,5-Aug,36,0,36,,B08,141,1
F,4,5-Aug,15,0,15,,F04,185,6
F,5,5-Aug,28,0,28,,F05,137,6
F,6,5-Aug,37,0,37,,F06,264,2
F,7,5-Aug,0,0,0,,F07,199,2
F,8,5-Aug,2,0,2,,F08,40,1
L,4,5-Aug,3,0,3,,L04,105,7
L,6,5-Aug,13,8,21,SPONGE,L06,305,9
L,7,5-Aug,18,0,18,,L07,71,2
L,8,5-Aug,0,0,0,,L08,38,2
L,9,5-Aug,5,0,5,,L09,71,1
W,7,5-Aug,0,0,0,,W07,73,1
W,8,5-Aug,30,0,30,,W08,166,2
B,1,6-Aug,7,0,7,,B01,202,14
B,2,6-Aug,11,0,11,,B02,496,12
B,4,6-Aug,15,1,16,SPONGE,B04,145,8
B,5,6-Aug,9,0,9,,B05,210,7
B,6,6-Aug,21,0,21,,B06,44,7
B,7,6-Aug,19,0,19,,B07,151,3
B,8,6-Aug,8,0,8,,B08,141,2
F,4,6-Aug,13,0,13,,F04,185,7
F,5,6-Aug,7,1,8,POP,F05,137,7
F,6,6-Aug,21,0,21,,F06,264,3
F,7,6-Aug,14,0,14,,F07,199,3
F,8,6-Aug,0,0,0,,F08,40,2
L,4,6-Aug,1,0,1,,L04,105,8
L,6,6-Aug,9,0,9,,L06,305,10
L,7,6-Aug,1,0,1,,L07,71,3
L,8,6-Aug,0,0,0,,L08,38,3
L,9,6-Aug,3,0,3,,L09,71,2
B,1,7-Aug,1,0,1,,B01,202,15
B,2,7-Aug,18,0,18,,B02,496,13
B,4,7-Aug,9,0,9,,B04,145,9
B,5,7-Aug,13,0,13,,B05,210,8
B,6,7-Aug,12,0,12,,B06,44,8
B,7,7-Aug,27,0,27,,B07,151,4
B,8,7-Aug,20,0,20,,B08,141,3
F,4,7-Aug,6,0,6,,F04,185,8
F,5,7-Aug,16,0,16,,F05,137,8
F,6,7-Aug,13,0,13,,F06,264,4
F,7,7-Aug,11,0,11,,F07,199,4
F,8,7-Aug,4,0,4,,F08,40,3
L,4,7-Aug,7,0,7,,L04,105,9
L,6,7-Aug,12,1,13,,L06,305,11
L,7,7-Aug,9,0,9,,L07,71,4
L,8,7-Aug,3,0,3,,L08,38,4
L,9,7-Aug,9,0,9,,L09,71,3
B,1,8-Aug,5,0,5,,B01,202,16
B,2,8-Aug,9,0,9,,B02,496,14
B,4,8-Aug,3,1,4,"EGGS STUCK TO OVIPOSITOR, REMOVED",B04,145,10
B,5,8-Aug,6,2,8,SPONGE,B05,210,9
B,7,8-Aug,21,0,21,,B07,151,5
B,8,8-Aug,12,0,12,,B08,141,4
F,4,8-Aug,6,0,6,,F04,185,9
F,5,8-Aug,5,0,5,,F05,137,9
F,6,8-Aug,33,0,33,,F06,264,5
F,7,8-Aug,7,0,7,,F07,199,5
F,8,8-Aug,4,0,4,,F08,40,4
L,4,8-Aug,3,0,3,,L04,105,10
L,6,8-Aug,14,0,14,,L06,305,12
L,7,8-Aug,5,0,5,,L07,71,5
L,8,8-Aug,0,0,0,,L08,38,5
L,9,8-Aug,5,0,5,,L09,71,4
B,1,9-Aug,6,0,6,,B01,202,17
B,2,9-Aug,13,0,13,,B02,496,15
B,4,9-Aug,6,0,6,,B04,145,11
B,5,9-Aug,1,2,3,,B05,210,10
B,7,9-Aug,17,0,17,,B07,151,6
B,8,9-Aug,14,0,14,,B08,141,5
F,4,9-Aug,6,1,7,,F04,185,10
F,5,9-Aug,2,0,2,,F05,137,10
F,6,9-Aug,20,0,20,,F06,264,6
F,7,9-Aug,30,0,30,,F07,199,6
F,8,9-Aug,7,2,9,,F08,40,5
L,4,9-Aug,22,0,22,,L04,105,11
L,6,9-Aug,13,2,15,SPONGE,L06,305,13
L,7,9-Aug,1,0,1,,L07,71,6
L,9,9-Aug,9,0,9,,L09,71,5
B,1,10-Aug,10,0,10,,B01,202,18
B,2,10-Aug,13,0,13,,B02,496,16
B,4,10-Aug,2,0,2,,B04,145,12
B,5,10-Aug,10,0,10,,B05,210,11
B,7,10-Aug,11,0,11,,B07,151,7
B,8,10-Aug,6,0,6,,B08,141,6
F,4,10-Aug,2,0,2,,F04,185,11
F,5,10-Aug,2,0,2,,F05,137,11
F,6,10-Aug,10,0,10,,F06,264,7
F,7,10-Aug,40,0,40,,F07,199,7
F,8,10-Aug,2,0,2,,F08,40,6
L,4,10-Aug,12,1,13,LOST,L04,105,12
L,6,10-Aug,13,0,13,,L06,305,14
L,7,10-Aug,5,0,5,,L07,71,7
L,9,10-Aug,9,0,9,,L09,71,6
B,1,11-Aug,2,0,2,,B01,202,19
B,2,11-Aug,11,5,16,SPONGE,B02,496,17
B,4,11-Aug,0,0,0,,B04,145,13
B,5,11-Aug,3,1,4,SPONGE,B05,210,12
B,7,11-Aug,10,0,10,,B07,151,8
B,8,11-Aug,6,2,8,SPONGE,B08,141,7
F,4,11-Aug,1,0,1,,F04,185,12
F,5,11-Aug,4,1,5,,F05,137,12
F,6,11-Aug,15,2,17,,F06,264,8
F,7,11-Aug,16,3,19,,F07,199,8
F,8,11-Aug,6,0,6,,F08,40,7
L,4,11-Aug,12,0,12,,L04,105,13
L,6,11-Aug,16,0,16,,L06,305,15
L,7,11-Aug,6,0,6,,L07,71,8
L,9,11-Aug,5,0,5,,L09,71,7
L,10,11-Aug,4,0,4,,L10,107,1
B,1,12-Aug,1,0,1,,B01,202,20
B,2,12-Aug,1,0,1,,B02,496,18
B,4,12-Aug,0,0,0,,B04,145,14
B,5,12-Aug,1,0,1,,B05,210,13
B,7,12-Aug,3,0,3,,B07,151,9
B,8,12-Aug,8,0,8,,B08,141,8
F,4,12-Aug,0,0,0,,F04,185,13
F,5,12-Aug,5,0,5,,F05,137,13
F,6,12-Aug,7,0,7,,F06,264,9
F,7,12-Aug,11,0,11,,F07,199,9
F,8,12-Aug,1,0,1,,F08,40,8
L,4,12-Aug,0,0,0,,L04,105,14
L,6,12-Aug,2,0,2,,L06,305,16
L,7,12-Aug,3,0,3,,L07,71,9
L,9,12-Aug,0,0,0,,L09,71,8
L,10,12-Aug,21,0,21,,L10,107,2
B,1,13-Aug,2,1,3,,B01,202,21
B,2,13-Aug,6,0,6,,B02,496,19
B,4,13-Aug,0,0,0,,B04,145,15
B,5,13-Aug,2,0,2,,B05,210,14
B,7,13-Aug,4,0,4,,B07,151,10
B,8,13-Aug,2,0,2,,B08,141,9
F,4,13-Aug,0,0,0,,F04,185,14
F,5,13-Aug,12,0,12,,F05,137,14
F,6,13-Aug,11,0,11,,F06,264,10
F,7,13-Aug,20,0,20,,F07,199,10
F,8,13-Aug,1,0,1,,F08,40,9
L,6,13-Aug,8,0,8,,L06,305,17
L,7,13-Aug,1,0,1,,L07,71,10
L,9,13-Aug,6,0,6,,L09,71,9
L,10,13-Aug,22,0,22,,L10,107,3
B,1,14-Aug,0,0,0,,B01,202,22
B,2,14-Aug,3,0,3,,B02,496,20
B,4,14-Aug,0,0,0,,B04,145,16
B,5,14-Aug,6,0,6,,B05,210,15
B,7,14-Aug,4,0,4,,B07,151,11
B,8,14-Aug,5,0,5,,B08,141,10
F,4,14-Aug,0,0,0,,F04,185,15
F,5,14-Aug,0,0,0,,F05,137,15
F,6,14-Aug,10,0,10,,F06,264,11
F,7,14-Aug,0,0,0,,F07,199,11
F,8,14-Aug,1,0,1,,F08,40,10
L,6,14-Aug,24,0,24,,L06,305,18
L,7,14-Aug,2,0,2,,L07,71,11
L,9,14-Aug,2,0,2,,L09,71,10
L,10,14-Aug,10,0,10,,L10,107,4
B,1,15-Aug,0,1,1,,B01,202,23
B,4,15-Aug,0,0,0,,B04,145,17
B,5,15-Aug,4,0,4,,B05,210,16
B,7,15-Aug,7,0,7,,B07,151,12
B,8,15-Aug,8,0,8,,B08,141,11
F,4,15-Aug,0,0,0,,F04,185,16
F,6,15-Aug,10,0,10,,F06,264,12
L,6,15-Aug,7,0,7,,L06,305,19
L,7,15-Aug,1,0,1,,L07,71,12
L,9,15-Aug,4,0,4,,L09,71,11
L,10,15-Aug,3,0,3,,L10,107,5
B,1,16-Aug,0,0,0,,B01,202,24
B,4,16-Aug,0,0,0,,B04,145,18
B,5,16-Aug,6,0,6,,B05,210,17
B,7,16-Aug,0,0,0,,B07,151,13
B,8,16-Aug,0,0,0,,B08,141,12
B,8,16-Aug,0,0,0,,B08,141,13
F,4,16-Aug,1,0,1,,F04,185,17
F,6,16-Aug,1,0,1,,F06,264,13
L,6,16-Aug,4,0,4,,L06,305,20
L,7,16-Aug,1,0,1,,L07,71,13
L,9,16-Aug,1,0,1,,L09,71,12
L,10,16-Aug,3,0,3,,L10,107,6
B,1,17-Aug,1,0,1,,B01,202,25
B,4,17-Aug,0,0,0,,B04,145,19
B,5,17-Aug,0,0,0,,B05,210,18
B,7,17-Aug,4,0,4,,B07,151,14
F,4,17-Aug,0,0,0,,F04,185,18
F,6,17-Aug,10,0,10,,F06,264,14
L,6,17-Aug,3,0,3,,L06,305,21
L,7,17-Aug,0,0,0,,L07,71,14
L,9,17-Aug,3,0,3,,L09,71,13
L,10,17-Aug,4,0,4,,L10,107,7
B,4,18-Aug,1,0,1,,B04,145,20
B,5,18-Aug,0,0,0,,B05,210,19
B,7,18-Aug,4,0,4,,B07,151,15
B,8,18-Aug,1,0,1,,B08,141,14
F,4,18-Aug,0,0,0,,F04,185,19
F,6,18-Aug,1,0,1,,F06,264,15
L,6,18-Aug,7,0,7,,L06,305,22
L,7,18-Aug,1,0,1,,L07,71,15
L,9,18-Aug,0,0,0,,L09,71,14
L,10,18-Aug,10,0,10,,L10,107,8
B,4,19-Aug,0,0,0,,B04,145,21
B,5,19-Aug,2,0,2,,B05,210,20
B,7,19-Aug,0,0,0,,B07,151,16
B,8,19-Aug,9,0,9,,B08,141,15
F,4,19-Aug,0,0,0,,F04,185,20
F,6,19-Aug,2,0,2,,F06,264,16
L,6,19-Aug,1,0,1,,L06,305,23
L,7,19-Aug,1,0,1,,L07,71,16
L,9,19-Aug,3,0,3,,L09,71,15
L,10,19-Aug,2,0,2,,L10,107,9
B,4,20-Aug,0,0,0,,B04,145,22
B,7,20-Aug,2,0,2,,B07,151,17
B,8,20-Aug,1,0,1,,B08,141,16
F,4,20-Aug,0,0,0,,F04,185,21
F,6,20-Aug,3,0,3,,F06,264,17
L,7,20-Aug,7,0,7,,L07,71,17
L,9,20-Aug,1,0,1,,L09,71,16
L,10,20-Aug,1,0,1,,L10,107,10
B,4,21-Aug,0,0,0,,B04,145,23
B,7,21-Aug,2,0,2,,B07,151,18
F,6,21-Aug,1,0,1,,F06,264,18
B,4,22-Aug,0,0,0,,B04,145,24
B,7,22-Aug,5,0,5,,B07,151,19
F,6,22-Aug,5,0,5,,F06,264,19
B,4,23-Aug,0,0,0,,B04,145,25
B,7,23-Aug,1,0,1,,B07,151,20
F,6,23-Aug,5,0,5,,F06,264,20
B,4,24-Aug,0,0,0,,B04,145,26
B,7,24-Aug,1,0,1,,B07,151,21
F,6,24-Aug,1,0,1,,F06,264,21
B,4,25-Aug,0,0,0,,B04,145,27
B,7,25-Aug,0,0,0,,B07,151,22
F,6,25-Aug,5,0,5,,F06,264,22
B,7,26-Aug,1,0,1,,B07,151,23
F,6,26-Aug,1,0,1,,F06,264,23
B,7,27-Aug,0,0,0,,B07,151,24
F,6,27-Aug,0,0,0,,F06,264,24
B,7,28-Aug,0,0,0,,B07,151,25
F,6,28-Aug,0,0,0,,F06,264,25
B,7,29-Aug,0,0,0,,B07,151,26
B,7,30-Aug,0,0,0,,B07,151,27
W,7,8/6/2020,0,0,0,,W07,73,2
